roman_urdu_term,canonical_meaning,source
phulki,phulki,round1_new_dish_terms
foolki,phulki,round1_new_dish_terms
boondi,boondi,round1_new_dish_terms
bundi,boondi,round1_new_dish_terms
bareek,"bareek (fine/thin, e.g. dalia)",round1_new_dish_terms
barik,"bareek (fine/thin, e.g. dalia)",round1_new_dish_terms
dalia,dalia (cracked wheat),round1_new_dish_terms
daliya,dalia (cracked wheat),round1_new_dish_terms
kachumar,raw-mango relish / kachumar achaar,round1_new_dish_terms
kachoomar,raw-mango relish / kachumar achaar,round1_new_dish_terms
lasoora,lasoora pickle,round1_new_dish_terms
lasora,lasoora pickle,round1_new_dish_terms
lasura,lasoora pickle,round1_new_dish_terms
zafrani,zafrani (saffron-flavoured),round1_new_dish_terms
zaffrani,zafrani (saffron-flavoured),round1_new_dish_terms
taaza,taaza (fresh),round1_new_dish_terms
taza,taaza (fresh),round1_new_dish_terms
khalis,khalis (pure),round1_new_dish_terms
khaalis,khalis (pure),round1_new_dish_terms
karara,karara (extra spicy/crisp),round1_new_dish_terms
karaara,karara (extra spicy/crisp),round1_new_dish_terms
hara masala,hara masala (green spice mix),round1_new_dish_terms
green masala,hara masala (green spice mix),round1_new_dish_terms
hari mirch,hari mirch (green chilli),round1_new_dish_terms
green chilli,hari mirch (green chilli),round1_new_dish_terms
dum,dum (slow-cooked style),round1_new_dish_terms
dum pukht,dum (slow-cooked style),round1_new_dish_terms
makhni,makhni/makhani (buttery style),round1_new_dish_terms
makhani,makhni/makhani (buttery style),round1_new_dish_terms
shahi,shahi (royal style),round1_new_dish_terms
mughlai,mughlai style,round1_new_dish_terms
sindhi,sindhi style (e.g. biryani),round1_new_dish_terms
lahori,lahori style,round1_new_dish_terms
bihari,bihari style (kabab),round1_new_dish_terms
afghani,afghani style,round1_new_dish_terms
delhi,delhi style (e.g. nihari),round1_new_dish_terms
kunna,kunna,round1_new_dish_terms
kunna gosht,kunna,round1_new_dish_terms
bombay,bombay/mumbai style,round1_new_dish_terms
mumbai,bombay/mumbai style,round1_new_dish_terms
pilau,pilau/pulao,round1_new_dish_terms
pulao,pilau/pulao,round1_new_dish_terms
pilaf,pilau/pulao,round1_new_dish_terms
masoor,masoor daal (red lentil),round2_full_product_scan
masur,masoor daal (red lentil),round2_full_product_scan
musoor,masoor daal (red lentil),round2_full_product_scan
kabli chana,kabli chana (white chickpea),round2_full_product_scan
kaabli chana,kabli chana (white chickpea),round2_full_product_scan
kabuli chana,kabli chana (white chickpea),round2_full_product_scan
kabli cholay,kabli chana (white chickpea),round2_full_product_scan
arhar,arhar daal (pigeon pea/toor dal),round2_full_product_scan
arahar,arhar daal (pigeon pea/toor dal),round2_full_product_scan
toor,arhar daal (pigeon pea/toor dal),round2_full_product_scan
tuvar,arhar daal (pigeon pea/toor dal),round2_full_product_scan
chilka,chilka (husk-on lentil),round2_full_product_scan
chhilka,chilka (husk-on lentil),round2_full_product_scan
mong,moong (mung bean) — spelling variant,round2_full_product_scan
monggo,moong (mung bean) — spelling variant,round2_full_product_scan
sabut,"sabut (whole, e.g. whole lentil)",round2_full_product_scan
sabot,"sabut (whole, e.g. whole lentil)",round2_full_product_scan
chanay,chanay (chickpeas) — spelling variant,round2_full_product_scan
channay,chanay (chickpeas) — spelling variant,round2_full_product_scan
aaloo,aloo (potato) — spelling variant,round2_full_product_scan
quorma,qorma/korma — spelling variant,round2_full_product_scan
yakhni,yakhni (meat broth/stock),round2_full_product_scan
yakni,yakhni (meat broth/stock),round2_full_product_scan
yaqni,yakhni (meat broth/stock),round2_full_product_scan
salan,salan (curry),round2_full_product_scan
saalan,salan (curry),round2_full_product_scan
pakora,pakora/bhajia (fritters),round2_full_product_scan
pakoray,pakora/bhajia (fritters),round2_full_product_scan
bhajia,pakora/bhajia (fritters),round2_full_product_scan
bhajiya,pakora/bhajia (fritters),round2_full_product_scan
peshawari,peshawari style,round2_full_product_scan
pishawari,peshawari style,round2_full_product_scan
katakat,katakat (offal mix dish),round2_full_product_scan
kata kat,katakat (offal mix dish),round2_full_product_scan
jalfrezi,jalfrezi,round2_full_product_scan
jalfarezi,jalfrezi,round2_full_product_scan
murgh,murgh/murghi (chicken),round2_full_product_scan
murghi,murgh/murghi (chicken),round2_full_product_scan
murgi,murgh/murghi (chicken),round2_full_product_scan
matka,matka (clay-pot style),round2_full_product_scan
matkaa,matka (clay-pot style),round2_full_product_scan
danedar,danedar (grainy texture),round2_full_product_scan
daanedar,danedar (grainy texture),round2_full_product_scan
manchurian,manchurian,round2_full_product_scan
manchurain,manchurian,round2_full_product_scan
sabzi,sabzi (vegetable/curry),round2_full_product_scan
sabji,sabzi (vegetable/curry),round2_full_product_scan
subzi,sabzi (vegetable/curry),round2_full_product_scan
nau ratan,nau ratan (nine-gem mixed pickle),round2_full_product_scan
navratan,nau ratan (nine-gem mixed pickle),round2_full_product_scan
nauratan,nau ratan (nine-gem mixed pickle),round2_full_product_scan
punj ratan,punj ratan (five-lentil mix),round2_full_product_scan
panch ratan,punj ratan (five-lentil mix),round2_full_product_scan
punjabi,punjabi style,round2_full_product_scan
panjabi,punjabi style,round2_full_product_scan
karachi,karachi style,round2_full_product_scan
broast,broast (fried chicken style),round2_full_product_scan
brost,broast (fried chicken style),round2_full_product_scan
paya,paya (trotters dish),round2_full_product_scan
paaya,paya (trotters dish),round2_full_product_scan
kaleji,kaleji (liver),round2_full_product_scan
kalezi,kaleji (liver),round2_full_product_scan
khichdi,khichdi,round2_full_product_scan
khichri,khichdi,round2_full_product_scan
kitchari,khichdi,round2_full_product_scan
gol gappay,gol gappay (pani puri),round2_full_product_scan
golgappa,gol gappay (pani puri),round2_full_product_scan
gol gappa,gol gappay (pani puri),round2_full_product_scan
gulgapay,gol gappay (pani puri),round2_full_product_scan
angara,angara (charcoal/fiery style),round2_full_product_scan
angaara,angara (charcoal/fiery style),round2_full_product_scan
turshi,turshi (Persian-style pickle),round2_full_product_scan
torshi,turshi (Persian-style pickle),round2_full_product_scan
tarka,tarka/tadka (tempering),round2_full_product_scan
tadka,tarka/tadka (tempering),round2_full_product_scan
reshmi,reshmi (silky-style kofta/kabab),round2_full_product_scan
reshami,reshmi (silky-style kofta/kabab),round2_full_product_scan
lucknowi,lucknowi style,round2_full_product_scan
lakhnavi,lucknowi style,round2_full_product_scan
badshahi,"badshahi (royal, variant of shahi)",round2_full_product_scan
badshai,"badshahi (royal, variant of shahi)",round2_full_product_scan
chatt patta,chatpata — spelling variant,round2_full_product_scan
zaiqaydar,zaiqaydar (flavourful) / zaiqa (taste),round2_full_product_scan
zaiqaydaar,zaiqaydar (flavourful) / zaiqa (taste),round2_full_product_scan
zaiqa,zaiqaydar (flavourful) / zaiqa (taste),round2_full_product_scan
zaika,zaiqaydar (flavourful) / zaiqa (taste),round2_full_product_scan
khushbudar,khushbudar (fragrant),round2_full_product_scan
khushboodar,khushbudar (fragrant),round2_full_product_scan
chatkharaydar,chatkharaydar/chatkhaar (tasty/tangy),round2_full_product_scan
chatkhara,chatkharaydar/chatkhaar (tasty/tangy),round2_full_product_scan
chatkhaar,chatkharaydar/chatkhaar (tasty/tangy),round2_full_product_scan
mazedaar,mazedaar (delicious/fun),round2_full_product_scan
mazaydar,mazedaar (delicious/fun),round2_full_product_scan
mazedar,mazedaar (delicious/fun),round2_full_product_scan
khaas,khaas (special),round2_full_product_scan
khas,khaas (special),round2_full_product_scan
khatai,khatai (sour tamarind powder),round2_full_product_scan
khattai,khatai (sour tamarind powder),round2_full_product_scan
khatti,khatti (sour),round2_full_product_scan
khattey,khatti (sour),round2_full_product_scan
meethi,meethi (sweet),round2_full_product_scan
mitha,meethi (sweet),round2_full_product_scan
mithi,meethi (sweet),round2_full_product_scan
desi,desi (local/traditional),round2_full_product_scan
deshi,desi (local/traditional),round2_full_product_scan
degi,degi/daighi (large-pot slow-cooked style),round2_full_product_scan
deggi,degi/daighi (large-pot slow-cooked style),round2_full_product_scan
daighi,degi/daighi (large-pot slow-cooked style),round2_full_product_scan
daigi,degi/daighi (large-pot slow-cooked style),round2_full_product_scan
degh,degi/daighi (large-pot slow-cooked style),round2_full_product_scan
deghi,degi/daighi (large-pot slow-cooked style),round2_full_product_scan
kali,kali (black),round2_full_product_scan
kaali,kali (black),round2_full_product_scan
laal,laal/lal (red),round2_full_product_scan
lal,laal/lal (red),round2_full_product_scan
gurr,gurr/gur (jaggery),round2_full_product_scan
gur,gurr/gur (jaggery),round2_full_product_scan
goor,gurr/gur (jaggery),round2_full_product_scan
shakkar,shakkar (desi unrefined sugar),round2_full_product_scan
shakar,shakkar (desi unrefined sugar),round2_full_product_scan
kachri,kachri (dried wild melon/mango souring powder),round2_full_product_scan
kachari,kachri (dried wild melon/mango souring powder),round2_full_product_scan
arvi,arvi/arbi (taro/colocasia root),round2_full_product_scan
arbi,arvi/arbi (taro/colocasia root),round2_full_product_scan
sonth,sonth (dried ginger powder),round2_full_product_scan
saunth,sonth (dried ginger powder),round2_full_product_scan
hing,hing/heeng (asafoetida),round2_full_product_scan
heeng,hing/heeng (asafoetida),round2_full_product_scan
amla,amla (Indian gooseberry),round2_full_product_scan
amlaa,amla (Indian gooseberry),round2_full_product_scan
falsa,falsa (grewia berry),round2_full_product_scan
phalsa,falsa (grewia berry),round2_full_product_scan
koyla,"koyla (charcoal, smoky flavour)",round2_full_product_scan
koyala,"koyla (charcoal, smoky flavour)",round2_full_product_scan
moringa,moringa (sohanjna),round2_full_product_scan
sohanjna,moringa (sohanjna),round2_full_product_scan
kasundi,kasundi (mustard-pickle) — spelling variant,round2_full_product_scan
kasondi,kasundi (mustard-pickle) — spelling variant,round2_full_product_scan
kasaundi,kasundi (mustard-pickle) — spelling variant,round2_full_product_scan
kasondhi,kasundi (mustard-pickle) — spelling variant,round2_full_product_scan
chashni,chashni (sugar syrup),round2_full_product_scan
chashnik,chashni (sugar syrup),round2_full_product_scan
